GR,ILD_log10,DeltaPHI,PHIND,Depth,Well Name,Facies,Formation,PE,NM_M,RELPOS
0.4843572699213329,0.07706055426495595,-1.1318066122125676,1.362156428703643,-0.8405240917890638,LUKE G U,3,C SH,1.2439066721094716,1,0.053
0.1786973715105569,0.2779959587275251,-0.9470655083031049,0.9883614913076044,-0.8373249193653765,LUKE G U,3,C SH,1.3031067085223262,1,0.035
0.5012237219626152,-0.656827804987324,-3.096635020253456,5.449365927717104,-0.9962924759294677,CROSS H CATTLE,3,C SH,1.3381462784114535,1,0.823
0.7039201355468038,-0.09562048466716981,-0.9338540012610683,1.5490714215593273,-0.8437199310963526,LUKE G U,3,C SH,1.4288592362138934,1,0.07
0.5536815629933683,-0.7851148876681413,-2.7944436889624287,4.8927913724710566,-0.9993252906255568,CROSS H CATTLE,3,C SH,1.4363030056652613,1,0.8390000000000001
0.4593490226883229,-0.2588845741529138,-0.8047483675639032,4.19547531218808,1.706729541243884,CHURCHMAN BIBLE,2,C SH,1.473706375246019,1,0.08800000000000001
0.5680566131563806,-0.48272622185142183,-3.0436119033832525,5.45014672376039,-0.9627202608665439,CROSS H CATTLE,3,C SH,1.4779527350511552,1,0.645
2.3528539535512265,-0.3950981026696931,-1.378980543493276,4.186705209585522,0.6857188596856063,CHURCHMAN BIBLE,3,B2 SH,1.5019225295410354,1,0.917
1.5737437136724262,0.2726797054305876,-1.8333050735801328,6.086957871417826,-1.7704994645618317,CROSS H CATTLE,2,B1 SH,1.5021035583481162,1,0.924
0.48136544737283476,0.012318059265075778,-0.9519400535595829,3.7882055813758804,0.4367959379733073,CHURCHMAN BIBLE,3,B1 SH,1.5574697772047552,1,0.917
1.7582144675611224,0.3385912010997003,-1.859052508020928,5.572598424297567,-1.7726969901076883,CROSS H CATTLE,2,B1 SH,1.582974252209386,1,0.939
1.217930437077379,0.23284624679101124,-1.926480001134451,6.170312009090746,-1.768299495637993,CROSS H CATTLE,2,B1 SH,1.5883414093767685,1,0.909
0.2565466224324244,-0.35431257412874617,-0.9087974116461175,2.5911458997180303,-0.8564700147337208,SHANKLE,3,A1 SH,1.6050659041748274,1,0.016
2.972056168796117,-0.2191384619373912,-1.5311000896822269,3.6662955832855637,0.6809887105476896,CHURCHMAN BIBLE,3,B2 SH,1.6114670700102196,1,1.0
1.614602311468697,-0.5245640564427823,-1.2470250107013114,4.41399343842658,0.6904536224753131,CHURCHMAN BIBLE,3,B2 SH,1.6263524570544676,1,0.833
0.06072280384915146,-0.0840724415550422,-1.6075896737066915,4.072263856760115,1.7124436834772592,CHURCHMAN BIBLE,2,C SH,1.6311892999629911,1,0.029
0.6759039605938602,-0.853942339144674,-2.35086002254537,4.154669573824453,-1.002354916590845,CROSS H CATTLE,3,C SH,1.6454943857152111,1,0.855
